reduction,wavelength_min_micron,wavelength_max_micron,n_wavelength_bins,aggregation_rule,error_rule,offset_deg,formal_error_deg,semi_amplitude_ppm,chi_square,dof
fiducial,5.75,9.75,9,trapezoid,mean,-8.988935681268774,0.4864397018004176,2152.8568982245247,79.93632571546338,1
fiducial,5.75,9.75,9,trapezoid,maximum,-8.988935681268774,0.4864397018004176,2152.8568982245247,79.93632571546338,1
fiducial,5.75,9.75,9,uniform,mean,-9.194485458798,0.4751732981053278,2159.9681780163223,86.67041143109336,1
fiducial,5.75,9.75,9,uniform,maximum,-9.194485458798,0.4751732981053278,2159.9681780163223,86.67041143109336,1
fiducial,5.75,9.75,9,inverse_variance,mean,-8.883284234648698,0.461242916769522,2073.9519426127595,47.46686009038274,1
fiducial,5.75,9.75,9,inverse_variance,maximum,-8.883284234648698,0.461242916769522,2073.9519426127595,47.46686009038274,1
fiducial,5.75,10.25,10,trapezoid,mean,-9.285963686993702,0.4774678799635659,2167.3690506300027,83.41490665480632,1
fiducial,5.75,10.25,10,trapezoid,maximum,-9.285963686993702,0.4774678799635659,2167.3690506300027,83.41490665480632,1
fiducial,5.75,10.25,10,uniform,mean,-9.477590559037488,0.476472954508365,2168.5941518408254,84.19996212942462,1
fiducial,5.75,10.25,10,uniform,maximum,-9.477590559037488,0.476472954508365,2168.5941518408254,84.19996212942462,1
fiducial,5.75,10.25,10,inverse_variance,mean,-8.86871991528437,0.4524599481282632,2070.875514992023,44.41516906361863,1
fiducial,5.75,10.25,10,inverse_variance,maximum,-8.86871991528437,0.4524599481282632,2070.875514992023,44.41516906361863,1
fiducial,6.25,8.25,5,trapezoid,mean,-8.038660676931364,0.6137688955659462,2103.363077262106,46.69815835967803,1
fiducial,6.25,8.25,5,trapezoid,maximum,-8.038660676931364,0.6137688955659462,2103.363077262106,46.69815835967803,1
fiducial,6.25,8.25,5,uniform,mean,-8.185549515656723,0.5919377193209985,2110.0033117918297,45.61737372392041,1
fiducial,6.25,8.25,5,uniform,maximum,-8.185549515656723,0.5919377193209985,2110.0033117918297,45.61737372392041,1
fiducial,6.25,8.25,5,inverse_variance,mean,-8.371666128707798,0.5939973651053467,2087.9804121294683,25.39833824465676,1
fiducial,6.25,8.25,5,inverse_variance,maximum,-8.371666128707798,0.5939973651053467,2087.9804121294683,25.39833824465676,1
fiducial,6.25,8.75,6,trapezoid,mean,-8.318546257907403,0.5768423488241066,2094.691733357807,44.346182321788106,1
fiducial,6.25,8.75,6,trapezoid,maximum,-8.318546257907403,0.5768423488241066,2094.691733357807,44.346182321788106,1
fiducial,6.25,8.75,6,uniform,mean,-8.447327454056852,0.561555515831611,2095.627786262916,42.985044972743225,1
fiducial,6.25,8.75,6,uniform,maximum,-8.447327454056852,0.561555515831611,2095.627786262916,42.985044972743225,1
fiducial,6.25,8.75,6,inverse_variance,mean,-8.602895166704801,0.5635205059489072,2062.489120861709,24.83745714289918,1
fiducial,6.25,8.75,6,inverse_variance,maximum,-8.602895166704801,0.5635205059489072,2062.489120861709,24.83745714289918,1
fiducial,6.25,9.25,7,trapezoid,mean,-8.616320083168581,0.5482727870725794,2114.922733592119,53.06731632231846,1
fiducial,6.25,9.25,7,trapezoid,maximum,-8.616320083168581,0.5482727870725794,2114.922733592119,53.06731632231846,1
fiducial,6.25,9.25,7,uniform,mean,-8.755118485745836,0.5376784429394572,2140.7599303624006,61.58011936786615,1
fiducial,6.25,9.25,7,uniform,maximum,-8.755118485745836,0.5376784429394572,2140.7599303624006,61.58011936786615,1
fiducial,6.25,9.25,7,inverse_variance,mean,-8.639139112147124,0.5369299436892483,2074.4930303459796,31.35049457588331,1
fiducial,6.25,9.25,7,inverse_variance,maximum,-8.639139112147124,0.5369299436892483,2074.4930303459796,31.35049457588331,1
fiducial,6.25,9.75,8,trapezoid,mean,-8.956304522511546,0.5292356661416546,2153.262445560664,66.82223478091896,1
fiducial,6.25,9.75,8,trapezoid,maximum,-8.956304522511546,0.5292356661416546,2153.262445560664,66.82223478091896,1
fiducial,6.25,9.75,8,uniform,mean,-9.08209522040077,0.51780559078039,2165.851809356964,69.63542900630259,1
fiducial,6.25,9.75,8,uniform,maximum,-9.08209522040077,0.51780559078039,2165.851809356964,69.63542900630259,1
fiducial,6.25,9.75,8,inverse_variance,mean,-8.83744645357245,0.5181135067299385,2061.73326785534,21.64142283279864,1
fiducial,6.25,9.75,8,inverse_variance,maximum,-8.83744645357245,0.5181135067299385,2061.73326785534,21.64142283279864,1
fiducial,6.25,10.25,9,trapezoid,mean,-9.29062294669164,0.5128226265379574,2169.920713362835,70.9553969745254,1
